appnavigator.s_0: RU: Проекты | EN: Projects
organizerprofile.s_1: RU: Error loading organizer profile: | EN: Error loading organizer profile:
organizerprofile.s_2: RU: Внимание | EN: Attention
organizerprofile.s_3: RU: Номер телефона не указан | EN: Phone number not specified
organizerprofile.s_4: RU: Внимание | EN: Attention
organizerprofile.s_5: RU: Email не указан | EN: Email not specified
organizerprofile.s_6: RU: Внимание | EN: Attention
organizerprofile.s_7: RU: Telegram не указан | EN: Telegram is not specified
organizerprofile.s_8: RU: Внимание | EN: Attention
organizerprofile.s_9: RU: Не удалось открыть Telegram | EN: Failed to open Telegram
organizerprofile.s_10: RU: Организатор не найден | EN: Organizer not found
organizerprofile.s_11: RU: Назад | EN: Back
organizerprofile.s_12: RU: Профиль организатора | EN: Organizer profile
organizerprofile.s_13: RU: Возраст | EN: Age
organizerprofile.s_14: RU: Возраст | EN: Age
organizerprofile.s_15: RU: год | EN: year
organizerprofile.s_16: RU: года | EN: year
organizerprofile.s_17: RU: Пол | EN: Gender
organizerprofile.s_18: RU: Стаж работы | EN: Work experience
organizerprofile.s_19: RU: Стаж работы | EN: Work experience
organizerprofile.s_20: RU: год | EN: year
organizerprofile.s_21: RU: года | EN: year
organizerprofile.s_22: RU: Проектов | EN: Projects
organizerprofile.s_23: RU: О себе | EN: About me
organizerprofile.s_24: RU: Контакты | EN: Contacts
photoreportdetail.s_0: RU: Дата не указана | EN: No date specified
photoreportdetail.s_1: RU: Дата не указана | EN: No date specified
photoreportdetail.s_2: RU: Одобрено | EN: Approved
photoreportdetail.s_3: RU: На доработке | EN: Under revision
photoreportdetail.s_4: RU: На проверке | EN: Under review
photoreportdetail.s_5: RU: балл | EN: point
photoreportdetail.s_6: RU: балла | EN: points
photoreportdetail.s_7: RU: баллов | EN: points
photoreportdetail.s_8: RU: Организатор проверил отчет и подтвердил выполнение задачи. | EN: The organizer checked the report and confirmed the task was completed.
photoreportdetail.s_9: RU: Отчет возвращен на доработку. | EN: The report has been returned for revision.
photoreportdetail.s_10: RU: Организатор еще не оставил комментарий. Отчет находится на проверке. | EN: The organizer has not yet left a comment. The report is being reviewed.
photoreportdetail.s_11: RU: Волонтер | EN: Volunteer
photoreportdetail.s_12: RU: Организатор проекта | EN: Project organizer
photoreportdetail.s_13: RU: Отчет не найден | EN: Report not found
photoreportdetail.s_14: RU: По этой задаче пока нет доступного фотоотчета. | EN: There is no photo report available for this task yet.
photoreportdetail.s_15: RU: Отчет не найден | EN: Report not found
photoreportdetail.s_16: RU: Не удалось загрузить подробную информацию об отчете. | EN: Failed to load report details.
photoreportdetail.s_17: RU: Не удалось загрузить подробную информацию об отчете. | EN: Failed to load report details.
photoreportdetail.s_18: RU: Ошибка | EN: Error
photoreportdetail.s_19: RU: Подробная информация об отчете | EN: Details about the report
photoreportdetail.s_20: RU: Подробная информация об отчете | EN: Details about the report
photoreportdetail.s_21: RU: Ошибка | EN: Error
photoreportdetail.s_22: RU: Не удалось открыть меню отправки. | EN: Failed to open send menu.
photoreportdetail.s_23: RU: Отчет пока недоступен | EN: The report is not yet available
photoreportdetail.s_24: RU: Подробности отчета | EN: Report details
photoreportdetail.s_25: RU: Отправлено {submittedLabel} | EN: Sent {submittedLabel}
photoreportdetail.s_26: RU: КОММЕНТАРИЙ ВОЛОНТЕРА | EN: VOLUNTEER COMMENT
photoreportdetail.s_27: RU: КОММЕНТАРИЙ ВОЛОНТЕРА | EN: VOLUNTEER COMMENT
photoreportdetail.s_28: RU: Отзыв организатора | EN: Feedback from the organizer
privacypolicy.s_0: RU: Политика конфиденциальности | EN: Privacy Policy
privacypolicy.s_1: RU: Политика конфиденциальности | EN: Privacy Policy
privacypolicy.s_2: RU: 1. Общие положения | EN: 1. General provisions
privacypolicy.s_3: RU: 1. Общие положения | EN: 1. General provisions
privacypolicy.s_4: RU: 2. Сбор данных | EN: 2. Data collection
privacypolicy.s_9: RU: 3. Использование данных | EN: 3. Use of data
privacypolicy.s_14: RU: 4. Защита данных | EN: 4. Data protection
privacypolicy.s_15: RU: 4. Защита данных | EN: 4. Data protection
privacypolicy.s_16: RU: 5. Ваши права | EN: 5. Your rights
privacypolicy.s_17: RU: 5. Ваши права | EN: 5. Your rights
privacypolicy.s_18: RU: Мы в соцсетях | EN: We are on social networks
privacypolicy.s_19: RU: Веб-сайт | EN: Website
privacypolicy.s_20: RU: BirQadam • Версия 1.0.0 | EN: BirQadam • Version 1.0.0
profile.s_0: RU: Как работают баллы? | EN: How do points work?
profile.s_1: RU: Как работают баллы? | EN: How do points work?
profile.s_2: RU: Баллы показывают ваш общий прогресс и активность в приложении. | EN: Points show your overall progress and activity in the application.
profile.s_3: RU: Баллы растут по мере выполнения задач и участия в проектах. | EN: Points increase as you complete tasks and participate in projects.
profile.s_4: RU: Баллы растут по мере выполнения задач и участия в проектах. | EN: Points increase as you complete tasks and participate in projects.
profile.s_5: RU: Баллы помогают отслеживать общий путь волонтёра внутри приложения. | EN: Points help track a volunteer's overall journey within the application.
profile.s_6: RU: Как работает фактор доверия? | EN: How does the trust factor work?
profile.s_7: RU: Как работает фактор доверия? | EN: How does the trust factor work?
profile.s_8: RU: Фактор доверия показывает, насколько вы надёжны как волонтёр. | EN: The trust factor shows how reliable you are as a volunteer.
profile.s_9: RU: После хороших оценок фотоотчётов фактор доверия растёт. | EN: After good ratings of photo reports, the trust factor grows.
profile.s_10: RU: После хороших оценок фотоотчётов фактор доверия растёт. | EN: After good ratings of photo reports, the trust factor grows.
profile.s_11: RU: Высокий фактор доверия помогает поддерживать сильную репутацию в системе. | EN: A high trust factor helps maintain a strong reputation in the system.
profile.s_12: RU: Как работает фото-рейтинг? | EN: How does photo rating work?
profile.s_13: RU: Как работает фото-рейтинг? | EN: How does photo rating work?
profile.s_14: RU: Фото-рейтинг — это средняя оценка ваших фотоотчётов от организаторов. | EN: Photo rating is the average rating of your photo reports from the organizers.
profile.s_15: RU: Организатор оценивает фотоотчёт после проверки результата задачи. | EN: The organizer evaluates the photo report after checking the result of the task.
profile.s_16: RU: Организатор оценивает фотоотчёт после проверки результата задачи. | EN: The organizer evaluates the photo report after checking the result of the task.
profile.s_17: RU: Понятные и качественные фотографии обычно получают более высокий рейтинг. | EN: Clear and high-quality photos usually receive higher ratings.
profile.s_18: RU: Без названия | EN: Untitled
profile.s_19: RU: Локация не указана | EN: Location not specified
profile.s_20: RU: Нет доступа | EN: No access
profile.s_21: RU: Разрешите доступ к галерее, чтобы выбрать новую аватарку. | EN: Allow access to the gallery to select a new avatar.
profile.s_22: RU: Файл слишком большой | EN: File too big
profile.s_23: RU: Размер аватарки не должен превышать 2 МБ. | EN: The size of the avatar should not exceed 2 MB.
profile.s_24: RU: Ошибка | EN: Error
profile.s_25: RU: Не удалось обработать изображение. | EN: The image could not be processed.
profile.s_26: RU: Успешно | EN: Successfully
profile.s_27: RU: Аватар профиля обновлён. | EN: Profile avatar has been updated.
profile.s_28: RU: Успешно | EN: Successfully
profile.s_29: RU: Аватар профиля обновлён. | EN: Profile avatar has been updated.
profile.s_30: RU: Выход | EN: Exit
profile.s_31: RU: Вы уверены, что хотите выйти? | EN: Are you sure you want to log out?
profile.s_32: RU: Выход | EN: Exit
profile.s_33: RU: Выход | EN: Exit
profile.s_34: RU: В разработке | EN: In development
profile.s_35: RU: Готово | EN: Ready
profile.s_36: RU: Изменения применятся после перезапуска приложения. | EN: The changes will be applied after restarting the application.
profile.s_37: RU: Ошибка | EN: Error
profile.s_38: RU: Не удалось сохранить тему. Попробуйте ещё раз. | EN: Failed to save topic. Try again.
profile.s_39: RU: Выбор языка | EN: Language selection
profile.s_40: RU: Выбор языка | EN: Language selection
profile.s_41: RU: Выберите язык приложения | EN: Select application language
profile.s_42: RU: Русский | EN: Russian
profile.s_43: RU: Казахский | EN: Kazakh
profile.s_44: RU: Подключение Telegram | EN: Telegram connection
profile.s_45: RU: имя | EN: Name
profile.s_46: RU: имя | EN: Name
profile.s_47: RU: Профиль | EN: Profile
profile.s_48: RU: Профиль | EN: Profile
profile.s_49: RU: Дополните профиль | EN: Complete your profile
profile.s_50: RU: Редактировать | EN: Edit
profile.s_51: RU: Проекты | EN: Projects
profile.s_52: RU: Проекты | EN: Projects
profile.s_53: RU: Найдите первый проект | EN: Find your first project
profile.s_54: RU: Открыть проекты | EN: Open projects
profile.s_55: RU: Открыть проекты | EN: Open projects
profile.s_56: RU: Подберите направление по интересам | EN: Choose a direction based on your interests
profile.s_57: RU: Доработка | EN: Finalization
profile.s_58: RU: Фотоотчёт | EN: Photo report
profile.s_59: RU: Доработка | EN: Finalization
profile.s_60: RU: Фотоотчёт | EN: Photo report
profile.s_61: RU: Исправить отчёт | EN: Correct the report
profile.s_62: RU: Загрузить фото | EN: Upload photo
profile.s_63: RU: Исправить отчёт | EN: Correct the report
profile.s_64: RU: К задаче | EN: To the task
profile.s_65: RU: Текущая задача | EN: Current task
profile.s_66: RU: Проверка | EN: Under Review
profile.s_67: RU: Проверка | EN: Under Review
profile.s_68: RU: Посмотрите статус фотоотчёта | EN: View the status of the photo report
profile.s_69: RU: Открыть отчёт | EN: Open report
profile.s_70: RU: Открыть отчёт | EN: Open report
profile.s_71: RU: Задачи | EN: Tasks
profile.s_72: RU: Текущий проект | EN: Current project
profile.s_73: RU: Задача | EN: Task
profile.s_74: RU: Задача | EN: Task
profile.s_75: RU: Продолжайте текущую задачу | EN: Continue the current task
profile.s_76: RU: Открыть задачу | EN: Open task
profile.s_77: RU: Открыть задачу | EN: Open task
profile.s_78: RU: Календарь | EN: Calendar
profile.s_79: RU: Активный проект | EN: Active project
profile.s_80: RU: Старт | EN: Start
profile.s_81: RU: Старт | EN: Start
profile.s_82: RU: Выберите первую активность | EN: Select your first activity
profile.s_83: RU: Мои проекты | EN: My projects
profile.s_84: RU: Мои проекты | EN: My projects
profile.s_85: RU: Следующий этап откроется после первого отчёта | EN: The next stage will open after the first report
profile.s_86: RU: Ритм | EN: Rhythm
profile.s_87: RU: Ритм | EN: Rhythm
profile.s_88: RU: Сейчас всё под контролем | EN: Everything is under control now
profile.s_89: RU: Открыть календарь | EN: Open calendar
profile.s_90: RU: Открыть календарь | EN: Open calendar
profile.s_91: RU: Волонтер | EN: Volunteer
profile.s_92: RU: ВОЛОНТЕР | EN: VOLUNTEER
profile.s_93: RU: БАЛЛЫ | EN: POINTS
profile.s_94: RU: Прогресс уровня | EN: Level progress
profile.s_95: RU: Прогресс уровня | EN: Level progress
profile.s_96: RU: ФАКТОР ДОВЕРИЯ | EN: TRUST FACTOR
profile.s_97: RU: ФОТО-РЕЙТИНГ | EN: PHOTO RATING
profile.s_101: RU: НАСТРОЙКИ АККАУНТА | EN: ACCOUNT SETTINGS
profile.s_102: RU: Редактировать профиль | EN: Edit profile
profile.s_103: RU: Изменить пароль | EN: Change password
profile.s_104: RU: Моя статистика | EN: My statistics
profile.s_105: RU: Уведомления | EN: Notifications
profile.s_106: RU: Язык | EN: Language
profile.s_107: RU: Русский | EN: Russian
profile.s_108: RU: Темная тема | EN: Dark theme
profile.s_109: RU: О приложении | EN: About the application
profile.s_110: RU: Помощь и поддержка | EN: Help and support
profile.s_111: RU: Выйти | EN: Log out
profile.s_112: RU: Понятно | EN: Got it
projectdetail.s_0: RU: Error loading project detail: | EN: Error loading project detail:
projectdetail.s_1: RU: Не удалось загрузить детали проекта | EN: Failed to load project details
projectdetail.s_2: RU: Информация | EN: Information
projectdetail.s_3: RU: Вы уже участвуете в этом проекте | EN: Are you already involved in this project?
projectdetail.s_4: RU: Недостаточно Trust Factor | EN: Insufficient Trust Factor
projectdetail.s_5: RU: Недостаточно Trust Factor | EN: Insufficient Trust Factor
projectdetail.s_6: RU: Error joining project: | EN: Error joining project:
projectdetail.s_7: RU: Внимание | EN: Attention
projectdetail.s_8: RU: Ошибка | EN: Error
projectdetail.s_9: RU: Ошибка | EN: Error
projectdetail.s_10: RU: Ошибка | EN: Error
projectdetail.s_11: RU: Необходимо указать причину выхода из проекта | EN: It is necessary to indicate the reason for leaving the project
projectdetail.s_12: RU: Вы покинули проект | EN: You left the project
projectdetail.s_13: RU: Error leaving project: | EN: Error leaving project:
projectdetail.s_14: RU: Error leaving project: | EN: Error leaving project:
projectdetail.s_15: RU: Внимание | EN: Attention
projectdetail.s_16: RU: Не удалось открыть ссылку на 2ГИС | EN: Failed to open link to 2GIS
projectdetail.s_17: RU: Внимание | EN: Attention
projectdetail.s_18: RU: Локация не указана | EN: Location not specified
projectdetail.s_19: RU: Внимание | EN: Attention
projectdetail.s_20: RU: Номер телефона не указан | EN: Phone number not specified
projectdetail.s_21: RU: Внимание | EN: Attention
projectdetail.s_22: RU: Email не указан | EN: Email not specified
projectdetail.s_23: RU: Внимание | EN: Attention
projectdetail.s_24: RU: Telegram не указан | EN: Telegram is not specified
projectdetail.s_25: RU: Внимание | EN: Attention
projectdetail.s_26: RU: Не удалось открыть Telegram | EN: Failed to open Telegram
projectdetail.s_27: RU: Внимание | EN: Attention
projectdetail.s_28: RU: Веб-сайт не указан | EN: Website not listed
projectdetail.s_29: RU: Внимание | EN: Attention
projectdetail.s_30: RU: Не удалось открыть веб-сайт | EN: Couldn't open website
projectdetail.s_31: RU: Внимание | EN: Attention
projectdetail.s_32: RU: Информация об организаторе недоступна | EN: Organizer information not available
projectdetail.s_33: RU: Поделились через: | EN: Shared via:
projectdetail.s_34: RU: Поделились через: | EN: Shared via:
projectdetail.s_35: RU: Sharing отменен | EN: Sharing canceled
projectdetail.s_36: RU: Ошибка | EN: Error
projectdetail.s_37: RU: Не удалось поделиться проектом | EN: Failed to share project
projectdetail.s_38: RU: СОЦИАЛЬНАЯ ПОМОЩЬ | EN: SOCIAL ASSISTANCE
projectdetail.s_39: RU: СОЦИАЛЬНАЯ ПОМОЩЬ | EN: SOCIAL ASSISTANCE
projectdetail.s_40: RU: ЭКОЛОГИЯ | EN: ECOLOGY
projectdetail.s_41: RU: Проект не найден | EN: Project not found
projectdetail.s_42: RU: Назад | EN: Back
projectdetail.s_43: RU: Локация | EN: Location
projectdetail.s_44: RU: Локация | EN: Location
projectdetail.s_45: RU: На карте | EN: On the map
projectdetail.s_46: RU: Организатор | EN: Organizer
projectdetail.s_48: RU: Подробнее | EN: More details
projectdetail.s_49: RU: Описание | EN: Description
projectdetail.s_50: RU: Участники | EN: Participants
projectdetail.s_52: RU: Показать всех участников | EN: Show all participants
projectdetail.s_53: RU: Пока нет участников | EN: No participants yet
projectdetail.s_54: RU: Контакты | EN: Contacts
projectdetail.s_55: RU: Все участники | EN: All participants
projectdetail.s_57: RU: Нет участников | EN: No participants
projectdetail.s_58: RU: Выход из проекта | EN: Exit from the project
projectdetail.s_60: RU: Текущий TF | EN: Current TF
projectdetail.s_61: RU: После выхода | EN: After release
projectdetail.s_63: RU: Отмена | EN: Cancel
projectdetail.s_64: RU: Продолжить | EN: Continue
projectdetail.s_65: RU: Присоединиться к проекту? | EN: Join the project?
projectdetail.s_69: RU: Отмена | EN: Cancel
projectdetail.s_70: RU: Присоединиться | EN: Join
projectdetail.s_71: RU: Причина выхода | EN: Reason for exit
projectdetail.s_73: RU: Например: изменились планы, нет времени, личные обстоятельства... | EN: For example: plans have changed, there is no time, personal circumstances...
projectdetail.s_74: RU: Отмена | EN: Cancel
projectdetail.s_75: RU: Подтвердить выход | EN: Confirm exit
projectdetail.s_76: RU: Покинуть проект | EN: Leave the project
projectdetail.s_77: RU: Присоединиться к проекту | EN: Join the project
projectdetail.s_78: RU: Поздравляем! | EN: Congratulations!
projectdetail.s_79: RU: Поздравляем! | EN: Congratulations!
projectdetail.s_82: RU: Отлично! | EN: Great!
projectdetail.s_83: RU: Вы покинули проект | EN: You left the project
projectdetail.s_84: RU: Применён штраф | EN: Penalty applied
projectdetail.s_85: RU: Новый TF | EN: New TF
projectdetail.s_87: RU: Понятно | EN: It's clear
projects.s_0: RU: Error loading projects: | EN: Error loading projects:
projects.s_1: RU: Error loading projects: | EN: Error loading projects:
projects.s_2: RU: Недостаточно Trust Factor | EN: Insufficient Trust Factor
projects.s_3: RU: Недостаточно Trust Factor | EN: Insufficient Trust Factor
projects.s_4: RU: Присоединиться к проекту? | EN: Join the project?
projects.s_5: RU: Присоединиться к проекту? | EN: Join the project?
projects.s_6: RU: Отмена | EN: Cancel
projects.s_7: RU: Да, присоединиться | EN: Yes, join
projects.s_8: RU: Успешно | EN: Successfully
projects.s_9: RU: Вы присоединились к проекту | EN: You have joined the project
projects.s_10: RU: Error joining project: | EN: Error joining project:
projects.s_11: RU: Внимание | EN: Attention
projects.s_12: RU: Ошибка | EN: Error
projects.s_13: RU: Ошибка | EN: Error
projects.s_14: RU: Ошибка | EN: Error
projects.s_15: RU: Укажите причину выхода из проекта | EN: Specify the reason for leaving the project
projects.s_16: RU: Вы покинули проект. | EN: You left the project.
projects.s_17: RU: Внимание | EN: Attention
projects.s_18: RU: Успешно | EN: Successfully
projects.s_19: RU: Не удалось покинуть проект | EN: Failed to leave project
projects.s_20: RU: Не удалось покинуть проект | EN: Failed to leave project
projects.s_21: RU: Социальная | EN: Social
projects.s_22: RU: Социальная | EN: Social
projects.s_23: RU: Экология | EN: Ecology
projects.s_24: RU: Локация не указана | EN: Location not specified
projects.s_27: RU: Вы участвуете | EN: Are you participating?
projects.s_28: RU: Присоединиться | EN: Join
projects.s_29: RU: Все проекты | EN: All projects
projects.s_37: RU: Проектов не найдено | EN: No projects found
submitphotoreport.s_0: RU: Не удалось загрузить задачу для фотоотчета. | EN: Failed to load task for photo report.
submitphotoreport.s_1: RU: Не удалось загрузить задачу для фотоотчета. | EN: Failed to load task for photo report.
submitphotoreport.s_2: RU: Ошибка | EN: Error
submitphotoreport.s_3: RU: Фотоотчет недоступен | EN: Photo report not available
submitphotoreport.s_4: RU: Сейчас для этой задачи нельзя отправить фотоотчет. | EN: Currently, you cannot submit a photo report for this task.
submitphotoreport.s_5: RU: Фотоотчет недоступен | EN: Photo report not available
submitphotoreport.s_6: RU: Файл слишком большой | EN: File too big
submitphotoreport.s_7: RU: Один из файлов превышает 10 МБ и не был добавлен. | EN: One of the files is larger than 10 MB and was not added.
submitphotoreport.s_8: RU: Лимит фотографий | EN: Photo limit
submitphotoreport.s_9: RU: Нет доступа | EN: No access
submitphotoreport.s_10: RU: Разрешите доступ к галерее, чтобы выбрать фотографии. | EN: Allow access to the gallery to select photos.
submitphotoreport.s_11: RU: Лимит фотографий | EN: Photo limit
submitphotoreport.s_12: RU: Нет доступа | EN: No access
submitphotoreport.s_13: RU: Разрешите доступ к камере, чтобы сделать фотографию. | EN: Allow access to your camera to take a photo.
submitphotoreport.s_14: RU: Добавьте фото | EN: Add a photo
submitphotoreport.s_15: RU: Нужно выбрать хотя бы одну фотографию для фотоотчета. | EN: You must select at least one photo for the photo report.
submitphotoreport.s_16: RU: Срок истёк | EN: Time limit has expired
submitphotoreport.s_17: RU: Для просроченной задачи фотоотчёт загрузить нельзя. | EN: For an overdue task, a photo report cannot be uploaded.
submitphotoreport.s_18: RU: Успешно | EN: Successfully
submitphotoreport.s_19: RU: Успешно | EN: Successfully
submitphotoreport.s_20: RU: Фотоотчет отправлен повторно и передан на проверку. | EN: The photo report was resent and submitted for verification.
submitphotoreport.s_21: RU: Не удалось отправить фотоотчет. | EN: Failed to send photo report.
submitphotoreport.s_22: RU: Не удалось отправить фотоотчет. | EN: Failed to send photo report.
submitphotoreport.s_23: RU: Фотоотчет | EN: Photo report
submitphotoreport.s_24: RU: ЗАДАЧА | EN: TASK
submitphotoreport.s_25: RU: ЗАДАЧА | EN: TASK
submitphotoreport.s_26: RU: Без названия | EN: Untitled
submitphotoreport.s_27: RU: Нужно доработать фотоотчет | EN: Photo report needs to be improved
submitphotoreport.s_28: RU: Организатор попросил отправить фотоотчет повторно. | EN: The organizer asked to send the photo report again.
submitphotoreport.s_29: RU: Фотографии | EN: Photos
submitphotoreport.s_30: RU: Фотографии | EN: Photos
submitphotoreport.s_31: RU: Из галереи | EN: From gallery
submitphotoreport.s_32: RU: Сделать фото | EN: Take a photo
submitphotoreport.s_33: RU: Фотографии еще не выбраны | EN: Photos have not been selected yet
submitphotoreport.s_34: RU: Комментарий | EN: Comment
submitphotoreport.s_35: RU: Очистить | EN: Clear
submitphotoreport.s_36: RU: При необходимости добавьте короткое пояснение | EN: Add a short explanation if necessary
submitphotoreport.s_38: RU: Отправить повторно | EN: Resend
submitphotoreport.s_39: RU: Отправить фотоотчет | EN: Send a photo report
tasks.s_0: RU: Всего задач | EN: Total tasks
tasks.s_1: RU: Всего задач | EN: Total tasks
tasks.s_2: RU: Всего задач | EN: Total tasks
tasks.s_3: RU: Открытые | EN: Open
tasks.s_4: RU: В работе | EN: In progress
tasks.s_5: RU: На проверке | EN: Under review
tasks.s_6: RU: На доработке | EN: Under revision
tasks.s_7: RU: Без названия | EN: Untitled
tasks.s_8: RU: Локация не указана | EN: Location not specified
tasks.s_9: RU: Error loading tasks: | EN: Error loading tasks:
tasks.s_10: RU: Ошибка | EN: Error
tasks.s_11: RU: Принять задачу? | EN: Accept the task?
tasks.s_12: RU: Принять задачу? | EN: Accept the task?
tasks.s_13: RU: Вы уверены, что хотите взять эту задачу? | EN: Are you sure you want to take on this task?
tasks.s_14: RU: Отмена | EN: Cancel
tasks.s_15: RU: Успешно | EN: Successfully
tasks.s_16: RU: Задача принята в работу | EN: Task accepted
tasks.s_17: RU: Не удалось принять задачу | EN: Failed to accept task
tasks.s_18: RU: Не удалось принять задачу | EN: Failed to accept task
tasks.s_19: RU: Отклонить задачу? | EN: Reject the task?
tasks.s_20: RU: Отклонить задачу? | EN: Reject the task?
tasks.s_21: RU: Вы уверены, что хотите отклонить эту задачу? | EN: Are you sure you want to decline this task?
tasks.s_22: RU: Отмена | EN: Cancel
tasks.s_23: RU: Задача отклонена | EN: Task rejected
tasks.s_24: RU: Не удалось отклонить задачу | EN: Failed to reject task
tasks.s_25: RU: Не удалось отклонить задачу | EN: Failed to reject task
tasks.s_26: RU: Архивировать задачу? | EN: Archive the task?
tasks.s_27: RU: Архивировать задачу? | EN: Archive the task?
tasks.s_28: RU: Вы уверены, что хотите перенести эту задачу в архив? Она перестанет отображаться в списке активных. | EN: Are you sure you want to archive this task? It will no longer appear in the active list.
tasks.s_29: RU: Отмена | EN: Cancel
tasks.s_30: RU: Успешно | EN: Successfully
tasks.s_31: RU: Задача перенесена в архив | EN: The task has been moved to the archive
tasks.s_32: RU: Не удалось архивировать задачу | EN: Failed to archive task
tasks.s_33: RU: Не удалось архивировать задачу | EN: Failed to archive task
tasks.s_34: RU: Сегодня | EN: Today
tasks.s_35: RU: Сегодня | EN: Today
tasks.s_36: RU: Завтра | EN: Tomorrow
tasks.s_37: RU: На проверке | EN: Under review
tasks.s_38: RU: На доработке | EN: Under revision
tasks.s_39: RU: В работе | EN: In progress
tasks.s_40: RU: Завершено | EN: Completed
tasks.s_41: RU: В архиве | EN: In the archive
tasks.s_42: RU: Отклонено | EN: Rejected
tasks.s_43: RU: Закрыто | EN: Closed
tasks.s_44: RU: Просрочено | EN: Overdue
tasks.s_45: RU: Просрочено | EN: Overdue
tasks.s_46: RU: Открыто | EN: Open
tasks.s_47: RU: Локальная задача | EN: Local task
tasks.s_48: RU: Принять | EN: Accept
tasks.s_49: RU: Отклонить | EN: Reject
tasks.s_51: RU: В архив | EN: To the archive
tasks.s_52: RU: Завершено | EN: Completed
tasks.s_53: RU: Отчет на проверке | EN: Inspection report
tasks.s_54: RU: Перенесено в архив | EN: Moved to archive
tasks.s_55: RU: Задачи появятся в проектах, к которым вы присоединились. Сейчас можно открыть проекты и выбрать подходящую активность. | EN: Tasks will appear in the projects you have joined. Now you can open projects and select the appropriate activity.
tasks.s_56: RU: Задачи появятся в проектах, к которым вы присоединились. Сейчас можно открыть проекты и выбрать подходящую активность. | EN: Tasks will appear in the projects you have joined. Now you can open projects and select the appropriate activity.
tasks.s_57: RU: Главная | EN: Home
tasks.s_58: RU: Главная | EN: Home
tasks.s_59: RU: Мои задачи | EN: My tasks
tasks.s_60: RU: Уведомления | EN: Notifications
tasks.s_61: RU: Задач пока нет | EN: No tasks yet
tasks.s_62: RU: Переход | EN: Transition
tasks.s_63: RU: Откройте раздел проектов в приложении. | EN: Open the projects section in the application.
tasks.s_64: RU: Открыть проекты | EN: Open projects
volunteertaskdetail.s_0: RU: Ошибка | EN: Error
volunteertaskdetail.s_1: RU: Не удалось загрузить детали задачи | EN: Failed to load task details
volunteertaskdetail.s_2: RU: Успешно | EN: Successfully
volunteertaskdetail.s_3: RU: Задача принята в работу | EN: Task accepted
volunteertaskdetail.s_4: RU: Не удалось принять задачу | EN: Failed to accept task
volunteertaskdetail.s_5: RU: Не удалось принять задачу | EN: Failed to accept task
volunteertaskdetail.s_6: RU: Успех | EN: Success
volunteertaskdetail.s_7: RU: Задача отклонена | EN: Task rejected
volunteertaskdetail.s_8: RU: Не удалось отклонить задачу | EN: Failed to reject task
volunteertaskdetail.s_9: RU: Не удалось отклонить задачу | EN: Failed to reject task
volunteertaskdetail.s_10: RU: Чат недоступен | EN: Chat unavailable
volunteertaskdetail.s_11: RU: Для этой задачи активный чат проекта пока не найден. | EN: No active project chat has been found for this task yet.
volunteertaskdetail.s_12: RU: Чат проекта | EN: Project chat
volunteertaskdetail.s_13: RU: Error opening task chat: | EN: Error opening task chat:
volunteertaskdetail.s_14: RU: Ошибка | EN: Error
volunteertaskdetail.s_15: RU: Задача не найдена | EN: Task not found
volunteertaskdetail.s_16: RU: Задача не найдена | EN: Task not found
volunteertaskdetail.s_17: RU: Отправить фотоотчет повторно | EN: Send photo report again
volunteertaskdetail.s_18: RU: Отправить фотоотчет | EN: Send a photo report
volunteertaskdetail.s_19: RU: ДНЕЙ | EN: DAYS
volunteertaskdetail.s_20: RU: ДНЕЙ | EN: DAYS
volunteertaskdetail.s_21: RU: ДНЕЙ | EN: DAYS
volunteertaskdetail.s_22: RU: ИСТЕКЛО | EN: EXPIRED
volunteertaskdetail.s_23: RU: СЕГОДНЯ | EN: TODAY
volunteertaskdetail.s_24: RU: ДНЕЙ | EN: DAYS
volunteertaskdetail.s_25: RU: ДНЕЙ | EN: DAYS
volunteertaskdetail.s_26: RU: ДНЕЙ | EN: DAYS
volunteertaskdetail.s_27: RU: часов | EN: hours
volunteertaskdetail.s_28: RU: часов | EN: hours
volunteertaskdetail.s_29: RU: часов | EN: hours
volunteertaskdetail.s_30: RU: Весь день | EN: All day
volunteertaskdetail.s_31: RU: Детали задачи | EN: Task details
volunteertaskdetail.s_32: RU: Проверено | EN: Verified
volunteertaskdetail.s_33: RU: Задача: | EN: Task:
volunteertaskdetail.s_34: RU: Задача: | EN: Task:
volunteertaskdetail.s_35: RU: ДЕДЛАЙН | EN: DEADLINE
volunteertaskdetail.s_36: RU: Занимает времени | EN: Takes time
volunteertaskdetail.s_37: RU: Место не указано | EN: Location not specified
volunteertaskdetail.s_38: RU: ОРГАНИЗАТОР | EN: ORGANIZER
volunteertaskdetail.s_39: RU: ОРГАНИЗАТОР | EN: ORGANIZER
volunteertaskdetail.s_40: RU: ИСТОРИЯ АКТИВНОСТИ | EN: ACTIVITY HISTORY
volunteertaskdetail.s_41: RU: Задача создана | EN: Task created
volunteertaskdetail.s_42: RU: Вы приняли задачу | EN: You accepted the task
volunteertaskdetail.s_43: RU: Фотоотчет загружен | EN: Photo report uploaded
volunteertaskdetail.s_45: RU: Отчет ожидает решения организатора | EN: The report is awaiting the organizer's decision
volunteertaskdetail.s_46: RU: Проверка завершена, требуется доработка | EN: Review completed, revision required
volunteertaskdetail.s_47: RU: Фотоотчет успешно принят | EN: Photo report successfully accepted
volunteertaskdetail.s_48: RU: На доработке | EN: Under revision
